[2023-10-03 17:53:39] PRINT flip Peak:  False
[2023-10-03 17:54:17] PRINT 8400/24588
[2023-10-03 17:54:18] PRINT 8500/24588
[2023-10-03 17:54:18] PRINT 8600/24588
[2023-10-03 17:54:19] PRINT 8700/24588
[2023-10-03 17:54:19] PRINT 8800/24588
[2023-10-03 17:54:20] PRINT 8900/24588
[2023-10-03 17:54:20] PRINT 9000/24588
[2023-10-03 17:54:20] PRINT 9100/24588
[2023-10-03 17:54:21] PRINT 9200/24588
[2023-10-03 17:54:21] PRINT 9300/24588
[2023-10-03 17:54:22] PRINT 9400/24588
[2023-10-03 17:54:22] PRINT 9500/24588
[2023-10-03 17:54:23] PRINT 9600/24588
[2023-10-03 17:54:23] PRINT 9700/24588
[2023-10-03 17:54:24] PRINT 9800/24588
[2023-10-03 17:54:24] PRINT 9900/24588
[2023-10-03 17:54:25] PRINT 10000/24588
[2023-10-03 17:54:25] PRINT 10100/24588
[2023-10-03 17:54:25] PRINT 10200/24588
[2023-10-03 17:54:26] PRINT 10300/24588
[2023-10-03 17:54:26] PRINT 10400/24588
[2023-10-03 17:54:27] PRINT 10500/24588
[2023-10-03 17:54:27] PRINT 10600/24588
[2023-10-03 17:54:28] PRINT 10700/24588
[2023-10-03 17:54:28] PRINT 10800/24588
[2023-10-03 17:54:29] PRINT 10900/24588
[2023-10-03 17:54:29] PRINT 11000/24588
[2023-10-03 17:54:29] PRINT 11100/24588
[2023-10-03 17:54:30] PRINT 11200/24588
[2023-10-03 17:54:30] PRINT 11300/24588
[2023-10-03 17:54:31] PRINT 11400/24588
[2023-10-03 17:54:31] PRINT 11500/24588
[2023-10-03 17:54:32] PRINT 11600/24588
[2023-10-03 17:54:32] PRINT 11700/24588
[2023-10-03 17:54:33] PRINT 11800/24588
[2023-10-03 17:54:33] PRINT 11900/24588
[2023-10-03 17:54:34] PRINT 12000/24588
[2023-10-03 17:54:34] PRINT 12100/24588
[2023-10-03 17:54:35] PRINT 12200/24588
[2023-10-03 17:54:35] PRINT 12300/24588
[2023-10-03 17:54:35] PRINT 12400/24588
[2023-10-03 17:54:36] PRINT 12500/24588
[2023-10-03 17:54:36] PRINT 12600/24588
[2023-10-03 17:54:37] PRINT 12700/24588
[2023-10-03 17:54:37] PRINT 12800/24588
[2023-10-03 17:54:38] PRINT 12900/24588
[2023-10-03 17:54:38] PRINT 13000/24588
[2023-10-03 17:54:39] PRINT 13100/24588
[2023-10-03 17:54:39] PRINT 13200/24588
[2023-10-03 17:54:40] PRINT 13300/24588
[2023-10-03 17:54:40] PRINT 13400/24588
[2023-10-03 17:54:40] PRINT 13500/24588
[2023-10-03 17:54:41] PRINT 13600/24588
[2023-10-03 17:54:41] PRINT 13700/24588
[2023-10-03 17:54:42] PRINT 13800/24588
[2023-10-03 17:54:42] PRINT 13900/24588
[2023-10-03 17:54:43] PRINT 14000/24588
[2023-10-03 17:54:43] PRINT 14100/24588
[2023-10-03 17:54:44] PRINT 14200/24588
[2023-10-03 17:54:44] PRINT 14300/24588
[2023-10-03 17:54:45] PRINT 14400/24588
[2023-10-03 17:54:45] PRINT 14500/24588
[2023-10-03 17:54:45] PRINT 14600/24588
[2023-10-03 17:54:46] PRINT 14700/24588
[2023-10-03 17:54:46] PRINT 14800/24588
[2023-10-03 17:54:47] PRINT 14900/24588
[2023-10-03 17:54:47] PRINT 15000/24588
[2023-10-03 17:54:48] PRINT 15100/24588
[2023-10-03 17:54:48] PRINT 15200/24588
[2023-10-03 17:54:49] PRINT 15300/24588
[2023-10-03 17:54:49] PRINT 15400/24588
[2023-10-03 17:54:50] PRINT 15500/24588
[2023-10-03 17:54:50] PRINT 15600/24588
[2023-10-03 17:54:50] PRINT 15700/24588
[2023-10-03 17:54:51] PRINT 15800/24588
[2023-10-03 17:54:51] PRINT 15900/24588
[2023-10-03 17:54:52] PRINT 16000/24588
[2023-10-03 17:54:52] PRINT 16100/24588
[2023-10-03 17:54:53] PRINT 16200/24588
[2023-10-03 17:54:53] PRINT 16300/24588
[2023-10-03 17:54:54] PRINT 16400/24588
[2023-10-03 17:54:54] PRINT 16500/24588
[2023-10-03 17:54:54] PRINT 16600/24588
[2023-10-03 17:54:55] PRINT 16700/24588
[2023-10-03 17:54:55] PRINT 16800/24588
[2023-10-03 17:54:56] PRINT 16900/24588
[2023-10-03 17:54:56] PRINT 17000/24588
[2023-10-03 17:54:57] PRINT 17100/24588
[2023-10-03 17:54:57] PRINT 17200/24588
[2023-10-03 17:54:58] PRINT 17300/24588
[2023-10-03 17:54:58] PRINT 17400/24588
[2023-10-03 17:54:59] PRINT 17500/24588
[2023-10-03 17:54:59] PRINT 17600/24588
[2023-10-03 17:55:00] PRINT 17700/24588
[2023-10-03 17:55:00] PRINT 17800/24588
[2023-10-03 17:55:00] PRINT 17900/24588
[2023-10-03 17:55:01] PRINT 18000/24588
[2023-10-03 17:55:01] PRINT 18100/24588
[2023-10-03 17:55:02] PRINT 18200/24588
[2023-10-03 17:55:02] PRINT 18300/24588
[2023-10-03 17:55:03] PRINT 18400/24588
[2023-10-03 17:55:03] PRINT 18500/24588
[2023-10-03 17:55:04] PRINT 18600/24588
[2023-10-03 17:55:04] PRINT 18700/24588
[2023-10-03 17:55:05] PRINT 18800/24588
[2023-10-03 17:55:05] PRINT 18900/24588
[2023-10-03 17:55:05] PRINT 19000/24588
[2023-10-03 17:55:06] PRINT 19100/24588
[2023-10-03 17:55:06] PRINT 19200/24588
[2023-10-03 17:55:07] PRINT 19300/24588
[2023-10-03 17:55:07] PRINT 19400/24588
[2023-10-03 17:55:08] PRINT 19500/24588
[2023-10-03 17:55:08] PRINT 19600/24588
[2023-10-03 17:55:09] PRINT 19700/24588
[2023-10-03 17:55:09] PRINT 19800/24588
[2023-10-03 17:55:10] PRINT 19900/24588
[2023-10-03 17:55:10] PRINT 20000/24588
[2023-10-03 17:55:10] PRINT 20100/24588
[2023-10-03 17:55:11] PRINT 20200/24588
[2023-10-03 17:55:11] PRINT 20300/24588
[2023-10-03 17:55:12] PRINT 20400/24588
[2023-10-03 17:55:12] PRINT 20500/24588
[2023-10-03 17:55:13] PRINT 20600/24588
[2023-10-03 17:55:13] PRINT 20700/24588
[2023-10-03 17:55:14] PRINT 20800/24588
[2023-10-03 17:55:14] PRINT 20900/24588
[2023-10-03 17:55:14] PRINT 21000/24588
[2023-10-03 17:55:15] PRINT 21100/24588
[2023-10-03 17:55:15] PRINT 21200/24588
[2023-10-03 17:55:16] PRINT 21300/24588
[2023-10-03 17:55:16] PRINT 21400/24588
[2023-10-03 17:55:17] PRINT 21500/24588
[2023-10-03 17:55:17] PRINT 21600/24588
[2023-10-03 17:55:18] PRINT 21700/24588
[2023-10-03 17:55:18] PRINT 21800/24588
[2023-10-03 17:55:19] PRINT 21900/24588
[2023-10-03 17:55:19] PRINT 22000/24588
[2023-10-03 17:55:19] PRINT 22100/24588
[2023-10-03 17:55:20] PRINT 22200/24588
[2023-10-03 17:55:20] PRINT 22300/24588
[2023-10-03 17:55:21] PRINT 22400/24588
[2023-10-03 17:55:21] PRINT 22500/24588
[2023-10-03 17:55:22] PRINT 22600/24588
[2023-10-03 17:55:22] PRINT 22700/24588
[2023-10-03 17:55:23] PRINT 22800/24588
[2023-10-03 17:55:23] PRINT 22900/24588
[2023-10-03 17:55:24] PRINT 23000/24588
[2023-10-03 17:55:24] PRINT 23100/24588
[2023-10-03 17:55:24] PRINT 23200/24588
[2023-10-03 17:55:25] PRINT 23300/24588
[2023-10-03 17:55:25] PRINT 23400/24588
[2023-10-03 17:55:26] PRINT 23500/24588
[2023-10-03 17:55:26] PRINT 23600/24588
[2023-10-03 17:55:27] PRINT 23700/24588
[2023-10-03 17:55:27] PRINT 23800/24588
[2023-10-03 17:55:28] PRINT 23900/24588
[2023-10-03 17:55:28] PRINT 24000/24588
[2023-10-03 17:55:28] PRINT 24100/24588
[2023-10-03 17:55:29] PRINT 24200/24588
[2023-10-03 17:55:29] PRINT 24300/24588
[2023-10-03 17:55:30] PRINT 24400/24588
[2023-10-03 17:55:30] PRINT 24500/24588
[2023-10-03 17:55:31] PRINT 
[2023-10-03 17:55:31] PRINT 0/5625
[2023-10-03 17:55:31] PRINT 100/5625
[2023-10-03 17:55:32] PRINT 200/5625
[2023-10-03 17:55:32] PRINT 300/5625
[2023-10-03 17:55:32] PRINT 400/5625
[2023-10-03 17:55:33] PRINT 500/5625
[2023-10-03 17:55:33] PRINT 600/5625
[2023-10-03 17:55:34] PRINT 700/5625
[2023-10-03 17:55:34] PRINT 800/5625
[2023-10-03 17:55:34] PRINT 900/5625
[2023-10-03 17:55:35] PRINT 1000/5625
[2023-10-03 17:55:35] PRINT 1100/5625
[2023-10-03 17:55:36] PRINT 1200/5625
[2023-10-03 17:55:36] PRINT 1300/5625
[2023-10-03 17:55:36] PRINT 1400/5625
[2023-10-03 17:55:37] PRINT 1500/5625
[2023-10-03 17:55:37] PRINT 1600/5625
[2023-10-03 17:55:38] PRINT 1700/5625
[2023-10-03 17:55:38] PRINT 1800/5625
[2023-10-03 17:55:38] PRINT 1900/5625
[2023-10-03 17:55:39] PRINT 2000/5625
[2023-10-03 17:55:39] PRINT 2100/5625
[2023-10-03 17:55:40] PRINT 2200/5625
[2023-10-03 17:55:40] PRINT 2300/5625
[2023-10-03 17:55:40] PRINT 2400/5625
[2023-10-03 17:55:41] PRINT 2500/5625
[2023-10-03 17:55:41] PRINT 2600/5625
[2023-10-03 17:55:42] PRINT 2700/5625
[2023-10-03 17:55:42] PRINT 2800/5625
[2023-10-03 17:55:42] PRINT 2900/5625
[2023-10-03 17:55:43] PRINT 3000/5625
[2023-10-03 17:55:43] PRINT 3100/5625
[2023-10-03 17:55:44] PRINT 3200/5625
[2023-10-03 17:55:44] PRINT 3300/5625
[2023-10-03 17:55:45] PRINT 3400/5625
[2023-10-03 17:55:45] PRINT 3500/5625
[2023-10-03 17:55:45] PRINT 3600/5625
[2023-10-03 17:55:46] PRINT 3700/5625
[2023-10-03 17:55:46] PRINT 3800/5625
[2023-10-03 17:55:46] PRINT 3900/5625
[2023-10-03 17:55:47] PRINT 4000/5625
[2023-10-03 17:55:47] PRINT 4100/5625
[2023-10-03 17:55:48] PRINT 4200/5625
[2023-10-03 17:55:48] PRINT 4300/5625
[2023-10-03 17:55:49] PRINT 4400/5625
[2023-10-03 17:55:49] PRINT 4500/5625
[2023-10-03 17:55:49] PRINT 4600/5625
[2023-10-03 17:55:50] PRINT 4700/5625
[2023-10-03 17:55:50] PRINT 4800/5625
[2023-10-03 17:55:51] PRINT 4900/5625
[2023-10-03 17:55:51] PRINT 5000/5625
[2023-10-03 17:55:51] PRINT 5100/5625
[2023-10-03 17:55:52] PRINT 5200/5625
[2023-10-03 17:55:52] PRINT 5300/5625
[2023-10-03 17:55:53] PRINT 5400/5625
[2023-10-03 17:55:53] PRINT 5500/5625
[2023-10-03 17:55:53] PRINT 5600/5625
[2023-10-03 17:55:53] PRINT 
